date,trend,ipca,selic,IBC-Br,icom,expectativa,dolar,icon,ibov,open,high,low,close,adjclose,volume,ticker
2013-04-01,Downtrend,0.55,7.358333333333333,"149,79","104,6","157,35","2,00163181818182",2423.25,55910,12.218273162841797,12.575753211975098,11.531189918518066,12.560995101928711,10.448776245117188,134458924,LREN3.SA
2013-05-01,Downtrend,0.37,7.532258064516129,"147,03","105,4","146,53","2,03426666666667",2434.06,53506,12.560995101928711,13.438297271728516,12.085448265075684,12.216633796691895,10.358819961547852,98636625,LREN3.SA
2013-06-01,Downtrend,0.26,8.0,"144,87","104,4","143,42","2,172375",2304.13,47457,12.239590644836426,12.397012710571289,10.343962669372559,10.47842788696289,8.88494873046875,140689499,LREN3.SA
2013-07-01,Downtrend,0.03,8.338709677419354,"152,13","102,1","136,94","2,25156086956522",2334.85,48234,10.658807754516602,10.722761154174805,9.760188102722168,9.904492378234863,8.411550521850586,109380510,LREN3.SA
2013-08-01,Downtrend,0.24,8.548387096774194,"151,81","102,6","133,01","2,34159545454545",2334.17,50008,9.953686714172363,10.88182258605957,9.150176048278809,9.410906791687012,7.992364406585693,131469561,LREN3.SA
2013-09-01,Uptrend,0.35,9.0,"147,27","101,7","134,92","2,2699",2414.62,52338,9.48633861541748,11.701730728149414,9.48633861541748,10.417755126953125,8.847447395324707,132054994,LREN3.SA
2013-10-01,Uptrend,0.57,9.35483870967742,"151,9","102,9","139,15","2,18805652173913",2414.29,54256,10.493185997009277,11.527911186218262,10.219337463378906,11.068761825561523,9.41469955444336,106260038,LREN3.SA
2013-11-01,Downtrend,0.54,9.55,"147,79","101,1","138,74","2,29471",2437.34,52482,11.113037109375,11.226183891296387,9.927450180053711,10.24885368347168,8.717312812805176,84925338,LREN3.SA
2013-12-01,Downtrend,0.92,10.0,"145,77","100,8","135,51","2,34486190476191",2395.54,51507,10.1045503616333,10.488266944885254,9.714273452758789,10.002881050109863,8.508097648620605,85706522,LREN3.SA
2014-01-01,Downtrend,0.55,10.258064516129032,"142,72","98,2","132,78","2,38160454545455",2194.02,47639,10.002881050109863,10.132427215576172,8.940279960632324,9.089503288269043,7.745148658752441,141974397,LREN3.SA
2014-02-01,Downtrend,0.69,10.517857142857142,"143,53","98,5","132,24","2,38309",2228.6,47094,9.089503288269043,9.743789672851562,8.668069839477539,9.461742401123047,8.06232738494873,121319039,LREN3.SA
2014-03-01,Uptrend,0.92,10.75,"149,03","100,6","121,39","2,3254947368421",2336.63,50415,9.461742401123047,10.62601089477539,9.322357177734375,10.530901908874512,8.973359107971191,76372554,LREN3.SA
